,SiO2,Al2O3 ,TiO2,FeO,MgO,CaO,Na2O,K2O,CO2,CuO,SO3,H2O
alunite,0.01,35.75,0.01,0.02,0.00,0.01,0.41,7.50,0.00,0.00,39.25,13.05
anhydrite,0.01,0.00,0.01,0.01,0.00,41.34,0.02,0.00,0.01,0.00,58.81,0.00
augite,53.35,0.51,0.01,9.97,12.08,23.25,0.46,0.00,0.00,0.00,0.00,0.00
bytownite,51.68,30.24,0.05,0.59,0.14,13.29,3.79,0.21,0.00,0.00,0.00,0.00
calcite,0.00,0.00,0.00,0.01,0.28,55.67,0.01,0.00,44.02,0.00,0.00,0.00
chlorite,32.20,19.64,0.03,1.25,32.99,0.05,0.01,0.01,0.03,0.00,0.00,0.00
diopside,53.89,2.74,0.09,1.87,16.54,24.74,0.39,0.00,0.00,0.00,0.00,0.00
enstatite,58.11,0.20,0.03,6.23,34.86,0.18,0.05,0.00,0.00,0.00,0.00,0.00
forsterite,41.18,0.01,0.00,8.68,50.38,0.08,0.01,0.00,0.00,0.00,0.00,0.00
gypsum,0.01,0.18,0.01,0.07,0.01,40.63,0.02,0.00,0.02,0.00,58.11,10.93
hematite,0.98,0.00,0.01,80.66,0.03,0.04,0.03,0.01,0.00,0.00,0.00,0.00
ilmenite,0.00,0.02,37.25,56.84,2.26,0.00,0.01,0.00,0.00,0.00,0.00,0.00
jarosite,0.00,0.00,0.00,43.05,0.00,0.00,0.00,9.40,0.00,0.00,31.97,10.79
labradorite,52.74,29.86,0.07,0.37,0.11,12.21,4.47,0.26,0.00,0.00,0.00,0.00
magnesite,0.00,0.00,0.00,0.00,47.80,0.00,0.00,0.00,52.20,0.00,0.00,0.00
magnetite,0.02,0.05,0.02,93.20,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00
montmorillonite,62.55,18.06,0.14,1.04,8.54,0.82,1.01,0.05,0.01,0.00,0.00,16.09
nontronite,53.19,1.78,0.02,32.38,0.73,1.37,0.23,0.02,0.02,0.00,0.00,12.06
rozenite,0.03,0.01,0.01,14.94,0.58,0.06,0.19,0.01,0.00,16.17,38.21,32.17
saponite,56.35,6.89,0.03,0.61,27.27,0.25,0.36,0.16,0.04,0.00,0.00,19.76
siderite,0.00,0.00,0.00,53.78,3.80,0.66,0.02,0.00,37.99,0.00,0.00,0.00
tremolite,62.40,0.34,0.03,0.22,22.31,10.12,0.66,0.08,0.00,0.00,0.00,0.00
zeolite,51.95,17.64,0.01,0.02,0.01,8.14,0.22,0.82,0.00,0.00,0.00,22.82
